vous	v u
d'assaut	d a s o
d'assaut	d o
d'assaut	d s o
criajoue	k ʁ i a ʒ u
criajoue	k ʁ i j a ʒ u
criblée	k ʁ i b l e
d'assiégeants	d j e ʒ ɑ̃
crie	k ʁ i
d'attaque	d a k
d'attaque	d a t a k
criblaient	k ʁ i b l ɛ
d'attendre	d a t ɑ̃ d ʁ
d'attestation	d a t ɛ s t a s j ɔ̃
d'attestation	d a t ɛ ɛ s t a s j ɔ̃
d'attestation	d t ɛ s t a s j ɔ̃
d'attestation	d ɛ s t a s j ɔ̃
crier	k ʁ i j e
crime	k ʁ i m
d'aubervilliers	d o b ɛ ʁ v i j e
d'autant	d o t ɑ̃
d'autre	d o t ʁ
criminelle	k ʁ i m i n ɛ l
d'autrefois	d o t ʁ ə f w a
crinolines	k ʁ i n ɔ ʎ i n
crispe	k ʁ i s p
d'autres	d o t ʁ
crispèrent	k ʁ i s p ɛ ʁ
d'autrui	d o t ʁ ɥ i
crises	k ʁ i z
d'avancer	d a v ɑ̃ s e
cristal	k ʁ i s t a l
crispaient	k ʁ i s p ɛ
d'avoine	d a v w a n
d'azur	d a z y ʁ
crièrent	k ʁ i j ɛ ʁ
crochet	k ʁ ɔ ʃ ɛ
d'aïeules	d a j œ l
crocheter	k ʁ ɔ ʃ t e
d'eau	d o
crocodile	k ʁ ɔ k ɔ d i l
croirai	k ʁ w a ʁ e
croirai	k ʁ w a ʁ ɛ
croire	k ʁ w a ʁ
d'effet	d e f ɛ
d'effet	d f ɛ
d'effet	d ɛ f ɛ
croirez	k ʁ w a ʁ e
d'effronteries	d e f ʁ ɔ̃ t ʁ i
d'elles	d ɛ l
d'empoigner	d ɑ̃ p w a ɲ e
croisa	k ʁ w a z a
d'en	d ɑ̃
croisant	k ʁ w a z ɑ̃
croissance	k ʁ w a s ɑ̃ s
d'encens	d ɑ̃ s
d'encens	d ɑ̃ s ɑ̃
d'encens	d ɑ̃ s ɑ̃ s
croisement	k ʁ w a z m ɑ̃
croisèrent	k ʁ w a z ɛ ʁ
d'encolure	d ɑ̃ k ɔ l y ʁ
croisées	k ʁ w a z e
d'encre	d ɑ̃ k ʁ
croissante	k ʁ w a s ɑ̃ t
d'enfant	d ɑ̃ f ɑ̃
croisé	k ʁ w a z e
d'engins	d ɑ̃ ʒ ɛ̃
cromwell	k ʁ ɔ m v ɛ l
d'enjolras	d ɑ̃ ʒ ɔ l ʁ ɑ
crosse	k ʁ ɔ s
croule	k ʁ u l
croitelle	k ʁ w a t ɛ l
croitelle	k ʁ w a z i t ɛ l
d'entendre	d ɑ̃ t ɑ̃ d ʁ
croulèrent	k ʁ u l ɛ ʁ
croyais	k ʁ w ɑ j ɛ
d'entrer	d ɑ̃ t ʁ e
d'environ	d ɑ̃ v i ʁ ɔ̃
croyants	k ʁ w ɑ j ɑ̃
croulait	k ʁ u l ɛ
d'escaliers	d ɛ s k a ʎ e
croulé	k ʁ u l e
d'escoubleau	d k u b l o
d'escoubleau	d ɛ s k u b l o
croupissait	k ʁ u p i s ɛ
d'esprit	d ɛ s p ʁ i
croît	k ʁ w a
d'espérance	d ɛ s p e ʁ ɑ̃ s
croûtes	k ʁ u t
croyance	k ʁ w ɑ j ɑ̃ s
d'essayer	d e j e
d'essayer	d e s ɛ j e
d'essayer	d s e j e
crucifié	k ʁ y s i f j e
d'eux	d ø
croyezmoi	k ʁ w a j e m w a
croyezmoi	k ʁ w ɑ j e m w a
croyezmoi	k ʁ ɔ j e m w a
crypte	k ʁ i p t
croyiez	k ʁ ɔ j e
d'excès	d ɛ k s ɛ
d'expirer	d ɛ k s p i ʁ e
créancier	k ʁ e ɑ̃ s j e
cru	k ʁ y
d'expédient	d ɛ k s p e d j ɑ̃
d'extension	d ɛ k s t ɑ̃ s j ɔ̃
créatures	k ʁ e a t y ʁ
cruche	k ʁ y ʃ
d'habitude	d a b i t y d
créneau	k ʁ e n o
créneau	k ʁ ɛ n o
cruel	k ʁ y ɛ l
d'hercule	d ɛ ʁ k y l
crénelée	k ʁ e n l e
crues	k ʁ y
d'heures	d œ ʁ
crépuscule	k ʁ e p y s k y l
crus	k ʁ y s
d'homme	d ɔ m
crête	k ʁ ɛ t
cueillir	k œ j i ʁ
d'hommes	d ɔ m
d'honneur	d ɔ n œ ʁ
crèvent	k ʁ ɛ v
d'horreur	d ɔ ʁ œ ʁ
d'horribles	d ɔ ʁ i b l
cuivre	k ɥ i v ʁ
d'huîtres	d ɥ i t ʁ
crécy	k ʁ e s i
d'hélène	d e l ɛ n
cul	k y
cul	k y l
d'héroïsmes	d e ʁ ɔ i s m
d'hésitation	d e z i t a s j ɔ̃
culasse	k y l a s
d'idées	d i d e
culotte	k y l ɔ t
d'impasses	d ɛ̃ p a s
d'incendie	d ɛ̃ s ɑ̃ d i
cultiverez	k y l t i v ʁ e
crûment	k ʁ y m ɑ̃
cuir	k ɥ i ʁ
d'inductions	d ɛ̃ d y k s j ɔ̃
cuirasse	k ɥ i ʁ a s
d'infanterie	d ɛ̃ f ɑ̃ t ʁ i
cuire	k ɥ i ʁ
cuvette	k y v ɛ t
d'inquiétant	d ɛ̃ c e t ɑ̃
d'instinct	d ɛ̃ s t ɛ̃
cuisinière	k ɥ i z i ɲ ɛ ʁ
cygne	s i ɲ
d'insurgés	d ɛ̃ s y ʁ ʒ e
cuites	k ɥ i t
d'interrogation	d ɛ̃ t ɛ ʁ ɔ ɡ a s j ɔ̃
d'introduire	d ɛ̃ t ʁ ɔ d ɥ i ʁ
cujas	k œ ʒ ɑ
cyllène	s i l ɛ n
d'inventer	d ɛ̃ v ɑ̃ t e
cyniquement	s i ɲ i k m ɑ̃
d'ivoire	d i v w a ʁ
d'iéna	d e n a
d'iéna	d j e n a
culpabilité	k y l p a b i ʎ i t e
célimène	s e ʎ i m ɛ n
d'obscur	d ɔ p s k y ʁ
cultiverions	k y l t i v ə ʁ j ɔ̃
célébration	s e l e b ʁ a s j ɔ̃
cérémonie	s e ʁ e m ɔ ɲ i
d'obscurité	d ɔ p s k y ʁ i t e
cunette	k y n ɛ t
d'occasion	d ɔ k a z j ɔ̃
côte	k o t
d'océan	d ɔ s e ɑ̃
cupidon	k y p i d ɔ̃
d'oie	d
cupidons	k y p i d ɔ̃
côtelette	k o t l ɛ t
d'oiseau	d w a z o
cura	k y ʁ a
d'olympien	d ɔ l ɛ̃ p j ɛ̃
curage	k y ʁ a ʒ
d'on	d ɔ̃
d'ongle	d ɔ ɔ̃ ɡ l
d'ongle	d ɔ̃ ɡ l
curer	k y ʁ e
d'opulence	d ɔ p y l ɑ̃ s
curieuse	k y ʁ j ø z
d'ordonner	d ɔ ʁ d ɔ n e
d'organisations	d ɔ ʁ ɡ a ɲ i z a s j ɔ̃
d'ouvriers	d u v ʁ i j e
d'utrecht	d y t ʁ ɛ k t
d'yeux	d i ø
d'yeux	d j ø
d'yeux	d z j ø
d'âme	d ɑ m
d'ébranler	d e b ʁ ɑ̃ l e
curiosité	k y ʁ j o z i t e
cest	s ɛ s t
cest	s ɛ s t ɛ
cest	s ɛ t
d'écarts	d e k a ʁ
cyclopéenne	s i k l ɔ p e ɛ n
cétaient	s e t ɛ
d'échecs	d e ʃ ɛ k
d	d
d	d e
d'écho	d e k o
d'écho	d e ʃ o
cylindre	s i l ɛ̃ d ʁ
d'	d
d'éclairage	d e k l ɛ ʁ a ʒ
d'abdication	d a b d i k a s j ɔ̃
d'écluses	d e k l y z
ccums	c ɔ m
ccums	k a ɔ m
ccums	k ɔ m
ccums	s e s e ɔ m
ccums	s e ɔ m
ccums	tʃ ɔ m
ccums	ɔ m
d'abraham	d a b ʁ a a m
d'accablement	d a k a b l ə m ɑ̃
d'accablement	d k a b l ə m ɑ̃
d'accablement	d k ɑ b l ə m ɑ̃
d'adorer	d a d ɔ ʁ e
d'écrivains	d e k ʁ i v ɛ̃
d'écueils	d e k œ j
d'afrique	d a f ʁ i k
cédant	s e d ɑ̃
d'écus	d e k y s
d'agonie	d a ɡ ɔ ɲ i
cédé	s e d e
d'égout	d e ɡ u
d'aigle	d ɛ ɡ l
d'égouts	d e ɡ u
d'ailes	d a j
célèbres	s e l ɛ b ʁ
célébrité	s e l e b ʁ i t e
d'élever	d e l v e
d'aimer	d e m e
d'aimer	d ɛ m e
cérébraux	s e ʁ e b ʁ o
d'émeute	d e m ø t
d'ajouter	d a ʒ u t e
d'éminence	d e m i n ɑ̃ s
d'alentour	d a l ɑ̃ t u ʁ
d'émotions	d e m o s j ɔ̃
d'émotions	d e m ɔ s j ɔ̃
d'émotions	d e m ɔ t j ɔ̃
d'allemagne	d a l m a ɲ
côtoiement	k o t w a m ɑ̃
d'énumérer	d e n y m e ʁ e
d'allégresse	d a l e ɡ ʁ ɛ s
d'épaules	d e p o l
d'amont	d a m ɔ̃
d'épuisement	d e p ɥ i z m ɑ̃
d'état	d e t a
d'éteindre	d e t ɛ̃ d ʁ
d'étoiles	d e t w a l
d'étoupe	d e t u p
d'étreinte	d e t ʁ ɛ̃ t
d'amphitrite	d ɑ̃ f i t ʁ i t
d'éviter	d e v i t e
d'être	d ɛ t ʁ
d'abolir	d a b ɔ ʎ i ʁ
d'andré	d ɑ̃ d ʁ e
daignez	d ɛ ɲ e
dalles	d a l
d'angoisses	d ɑ̃ ɡ w
d'angoisses	d ɑ̃ ɡ w a s
d'angoisses	d ɑ̃ ɡ w s
damas	d a m ɑ
d'acacias	d a k a s j ɑ
dambray	d ɑ̃ b ʁ ɛ j
d'accuser	d a k y z e
damnation	d a m n a s j ɔ̃
damnation	d ɑ n a s j ɔ̃
d'aparté	d a p a ʁ t e
danger	d ɑ̃ ʒ e
d'apercevoir	d a p ɛ ʁ s ə v w a ʁ
d'adam	d a d a m
d'adam	d a d ɑ̃
d'adresser	d a d ʁ e s e
d'adresser	d a d ʁ ɛ s e
dangereux	d ɑ̃ ʒ ʁ ø
d'appui	d a p ɥ i
d'appui	d p ɥ i
d'appui	d s a p ɥ i
d'agent	d a ʒ
d'agents	d a ʒ ɑ̃
d'agents	d ʒ ɑ̃
danse	d ɑ̃ s
d'arbres	d a ʁ b ʁ
danseuses	d ɑ̃ s ø z
danseuses	d ɑ̃ ø z
daphnis	d a f ɲ i
dartreux	d a ʁ t ʁ ø
dates	d a t
davantage	d a v ɑ̃ t a ʒ
d'arracher	d a ʁ a ʃ e
d'airain	d e ʁ ɛ̃
d'airain	d ɛ ʁ ɛ̃
d'airain	d ʁ ɛ̃
d'arrêt	d a ʁ ɛ
debout	d ə b u
d'arsenaux	d a ʁ s ə n o
decointre	d ə k w ɛ̃ t
d'aliénation	d a ʎ e n a s j ɔ̃
dedans	d ə d ɑ̃
d'allées	d a l e
d'allées	d l e
d'ascétisme	d e t i s m
degrés	d ə ɡ ʁ e
d'assassinat	d a s i n a
d'assassinat	d s a s i n a
dehors	d ə ɔ ʁ
d'amortir	d a m ɔ ʁ t i ʁ
d'assez	d a s e
d'assez	d e
d'assez	d s e
d'anacharsis	d a n a k a ʁ s i
d'anacharsis	d a n a k a ʁ s i s
d'anacharsis	d a n a ʃ a ʁ s i
d'anacharsis	d a n a ʃ a ʁ s i s
delorme	d ə l ɔ ʁ m
d'anciens	d ɑ̃ s j ɛ̃
d'atteindre	d a t ɛ̃ d ʁ
d'atteindre	d t ɛ̃ d ʁ
delà	d ə l a
d'angleterre	d ɑ̃ ɡ l ə t ɛ ʁ
d'attente	d t
d'anneaux	d a n o
d'attitude	d a t i t y d
demanda	d ə m ɑ̃ d a
d'anthropophages	d ɑ̃ t ʁ ɔ p ɔ f a ʒ
d'auberge	d o b ɛ ʁ ʒ
d'apparition	d a p a ʁ i s j ɔ̃
demandaije	d ə m ɑ̃ d e ʒ
demandaije	d ə m ɑ̃ d ɛ ʒ
d'audace	d o d a s
d'applaudissements	d a p l o d i s m ɑ̃
d'applaudissements	d p l o d i s m ɑ̃
demandait	d ə m ɑ̃ d ɛ
d'aurore	d o ʁ ɔ ʁ
d'aurore	d ɔ ʁ ɔ ʁ
d'archange	d a ʁ k ɑ̃ ʒ
d'archange	d a ʁ ʃ ɑ̃ ʒ
demander	d ə m ɑ̃ d e
d'auréole	d o ʁ e ɔ l
d'auréole	d ɔ ʁ e ɔ l
d'arlequins	d a ʁ l c ɛ̃
d'arlequins	d a ʁ l ə c ɛ̃
d'autorité	d ɔ t ɔ ʁ i t e
d'armoires	d a ʁ m w a ʁ
demanderez	d ə m ɑ̃ d ʁ e
demandèrent	d ə m ɑ̃ d ɛ ʁ
d'arrêter	d a ʁ e t e
demandée	d ə m ɑ̃ d e
d'avance	d a v ɑ̃ s
demeurait	d ə m œ ʁ ɛ
d'avenir	d a v ɲ i ʁ
d'artois	d a ʁ t w a
d'artois	d s a ʁ t w a
d'artois	d ʁ t w a
demeure	d ə m œ ʁ
d'avocat	d a v ɔ k a
d'arçon	d a ʁ s ɔ̃
demeurer	d ə m œ ʁ e
d'avril	d a v ʁ i
d'avril	d a v ʁ i l
d'assainissement	d ɲ i s m ɑ̃
demeures	d ə m œ ʁ
d'assistants	d a s i s t ɑ̃
demeurèrent	d ə m œ ʁ ɛ ʁ
d'eaudevie	d o d v i
d'eaudevie	d o d ə v i
d'astre	d a s
d'astre	d a s t ʁ
d'astre	d t ʁ
demidouzaine	d ə m i d u z ɛ n
demijour	d ə m i ʒ u ʁ
d'effrayants	d e f ʁ ɛ j ɑ̃
d'attendrissement	d a t ɑ̃ d ʁ i s m ɑ̃
demimilliard	d ə m i m i ʎ a ʁ
d'ellemême	d e l ə m ɛ m
d'aucun	d o c ɛ̃
d'aucune	d o k y n
d'elle	d ɛ l
demimillion	d ə m i m i ʎ ɔ̃
d'augias	d o ɡ j ɑ
demisyncope	d ə m i s ɛ̃ k ɔ p
demisyncope	d ə m s ɛ̃ k ɔ p
demisyncope	d ə mʲ s ɛ̃ k ɔ p
d'emporter	d ɑ̃ p ɔ ʁ t e
demivoix	d ə m i v w a
d'enchanteur	d ɑ̃ ʃ ɑ̃ t œ ʁ
demi	d ə m i
d'encombrer	d ɑ̃ k ɔ̃ b ʁ e
demie	d ə m i
d'enfer	d ɑ̃ f ɛ ʁ
demoiselle	d ə m w a z ɛ l
d'enivrement	d z ɑ̃ ɲ i v ʁ ə m ɑ̃
d'enivrement	d ɑ̃ ɲ i v ʁ ə m ɑ̃
d'enlever	d ɑ̃ l v e
densité	d ɑ̃ s i t e
d'entonnoir	d ɑ̃ t ɔ n w a ʁ
dentelles	d ɑ̃ t ɛ l
d'avis	d a v i
d'envie	d ɑ̃ v i
dentifrice	d ɑ̃ t i f ʁ i s
d'avoir	d a v w a ʁ
d'escadron	d ɛ s k a d ʁ ɔ̃
d'escadron	d ɛ s k ɑ d ʁ ɔ̃
depuis	d e p i
depuis	d ɑ̃ p y
depuis	d ə p y
d'escamoteur	d ɛ s k a m ɔ t œ ʁ
dernier	d ɛ ʁ ɲ e
d'espace	d ɛ s p a s
d'eauforte	d o f ɔ ʁ t
d'espoir	d ɛ s p w a ʁ
dernièrement	d ɛ ʁ ɲ ɛ ʁ m ɑ̃
d'efforts	d e f ɔ ʁ
d'efforts	d s e f ɔ ʁ
d'efforts	d ɛ f ɔ ʁ
d'esprits	d ɛ s p ʁ i
descellé	d e s ɛ l e
descendait	d e s ɑ̃ d ɛ
d'esquisser	d c i s e
d'esquisser	d ɛ s c i s e
descendez	d e s ɑ̃ d e
d'essentiel	d ɑ̃ s j ɛ l
d'essentiel	d ɛ s ɑ̃ s j ɛ l
d'essentiel	d ɛ ɑ̃ s j ɛ l
descendit	d e s ɑ̃ d i
d'expliquer	d ɛ k s p ʎ i c e
d'expédients	d ɛ k s p e d j ɑ̃
d'f	d f
d'embarras	d ɑ̃ b a ʁ ɑ
descendrons	d e s ɑ̃ d ʁ ɔ̃
d'habiter	d a b i t e
d'empressement	d ɑ̃ p ʁ ɛ s m ɑ̃
descendue	d e s ɑ̃ d y
d'endroits	d ɑ̃ d ʁ w a
descente	d e s ɑ̃ t
d'hermine	d ɛ ʁ m i n
d'enfants	d ɑ̃ f ɑ̃
despotes	d ɛ s p ɔ t
d'hier	d e
d'hier	d j e
d'enjambées	d ɑ̃ ʒ ɑ̃ b e
dessaisi	d ə s e z i
dessaisi	d ə s ɛ z i
desseins	d e s ɛ̃
dessinlà	d e s i n a l a
dessinaient	d e s i n ɛ
dessinaient	d i n ɛ
d'entasser	d ɑ̃ t a s e
d'entasser	d ɑ̃ t ɑ s e
dessinera	d e s i n ʁ a
dessinera	d ɛ s i n ʁ a
dessous	d ə s u
d'erreur	d e ʁ œ ʁ
d'erreur	d ɛ ʁ œ ʁ
dessus	d e s y
d'escalier	d ɛ s k a ʎ e
d'essaims	d ɛ̃
d'euripyle	d ø ʁ i p i l
d'euripyle	d œ ʁ i p i l
d'explorer	d ɛ k s p l ɔ ʁ e
d'exquis	d ɛ k s c i
destange	d ɛ s t ɑ̃ ʒ
d'extase	d ɛ k s t a z
destin	d ɛ s t ɛ̃
d'horrible	d ɔ ʁ i b l
d'habit	d a b i
d'habit	d a b i t
destinataire	d ɛ s t i n a t ɛ ʁ
d'humanité	d y m a ɲ i t e
d'hydres	d i d ʁ
destinés	d ɛ s t i n e
d'hémorragie	d e m ɔ ʁ a ʒ i
d'ici	d i s i
d'herbe	d ɛ ʁ b
destitué	d ɛ s t i t ɥ e
detinan	d e t i n
dettes	d ɛ t
deuxtroissept	d ø z ɛ t ʁ w a s ɛ p t
deuxtroissept	d ø z ɛ t ʁ w p t
deuxtroissept	d ø z ɛ t ʁ w s p t
deuxtroissept	d ø z ɛ t ʁ w s ɛ
deuxtroissept	d ø z ɛ t ʁ w ɑ s ɛ p t
deuxièmement	d ø z j ɛ m ɑ̃
devaient	d ə v ɛ
devais	d ə v ɛ
devait	d ə v ɛ
devant	d ə v ɑ̃
devanture	d ə v ɑ̃ t y ʁ
devenant	d ə v ə n ɑ̃
devenir	d ə v ə ɲ i ʁ
devenu	d ə v ə n y
devenue	d ə v ə n y
devenus	d ə v ə n y s
deviennent	d ə v j ɛ n
d'idéal	d i d e a l
devient	d ə v i
devient	d ə v j ɛ̃
d'heure	d œ ʁ
devinait	d ə v i n ɛ
d'il	d i l
devinant	d ə v i n ɑ̃
devinent	d ə v i n
devinrent	d ə v ɛ̃ ʁ
d'imagination	d i m a ʒ i n a s j ɔ̃
d'hiver	d i v e
d'homère	d ɔ m ɛ ʁ
d'indiquer	d ɛ̃ d i c e
d'honnêtes	d ɔ n ɛ t
devisaient	d ə v i z ɛ
devoir	d ə v w a ʁ
devoirc'est	d ə v w a ʁ s ɛ
devoirc'est	d ə v w a ʁ ɛ
devrais	d ə v ʁ ɛ
dextérité	d ɛ k s t e ʁ i t e
diable	d j a b l
diablesses	d j ɑ b l ɛ s
dialogue	d j a l ɔ ɡ
dialogues	d j a l ɔ ɡ
diamant	d j a m ɑ̃
diamants	d j a m ɑ̃
diane	d j a n
dicere	d i s ɛ ʁ
d'inexprimable	d i n ɛ k s p ʁ i m a b l
d'inexprimable	d ɛ̃ ɛ k s p ʁ i m a b l
dictionnaire	d i k s j ɔ n ɛ ʁ
d'iniquités	d i ɲ i c i t e
dieuzy	d j ø z i
d'huissier	d ɥ i s j e
d'inquiétude	d ɛ̃ c e t y d
difficile	d i f i s i l
d'hygiène	d i ʒ j ɛ n
d'insulter	d ɛ̃ s y l t e
difficiles	d i f i s i l
difficulté	d i f i k y l t e
d'intelligences	d ɛ̃ t e ʎ i ʒ ɑ̃ s
difforme	d i f ɔ ʁ m
difformes	d i f ɔ ʁ m
diffuse	d i f y z
différente	d i f e ʁ ɑ̃ t
d'intersection	d ɛ̃ t ɛ ʁ s ɛ k s j ɔ̃
d'ironie	d i ʁ ɔ ɲ i
d'ivresse	d i v ʁ ɛ s
différents	d i f e ʁ ɑ̃
d'observation	d ɔ p s ɛ ʁ v a s j ɔ̃
dignes	d i ɲ
d'idée	d i d e
d'ocre	d ɔ k ʁ
dignité	d i ɲ i t e
d'ignoré	d i ɲ ɔ ʁ e
d'oeil	d ɔ ɛ j
digression	d i ɡ ʁ ɛ s j ɔ̃
d'importuner	d ɛ̃ p ɔ ʁ t y n e
dilatant	d i l a t ɑ̃
d'indicible	d ɛ̃ d i s i b l
d'oiseaux	d w a z o
d'oiseaux	d w o
d'oiseaux	d ɔ a z o
d'oiseaux	d ɔ o
dilatée	d i l a t e
d'industrie	d ɛ̃ d y s t ʁ i
d'ombre	d ɔ̃ b ʁ
d'ombre	d ɛ̃ b ʁ
dilettantes	d i l ɛ t ɑ̃ t
d'infini	d ɛ̃ f i ɲ i
dimanche	d i m ɑ̃ ʃ
d'infirmerie	d ɛ̃ f i ʁ m ə ʁ i
d'opinion	d ɔ p i ɲ ɔ̃
diminue	d i m i n y
diminue	d i m i n ɥ
d'instant	d ɛ̃ s t ɑ̃
d'or	d ɔ ʁ
diminutif	d i m i n y t i f
d'instruction	d ɛ̃ s t ʁ y k s j ɔ̃
d'oranger	d ɔ ʁ ɑ̃ ʒ e
diomède	d j ɔ m ɛ d
d'ordre	d ɔ ʁ d ʁ
diraton	d i ʁ a t ɔ̃
d'intervenir	d i n t ɛ ʁ v ə ɲ i ʁ
d'intervenir	d ɛ̃ t ɛ ʁ v ə ɲ i ʁ
d'ordures	d ɔ ʁ d y ʁ
dirai	d i ʁ e
d'intérêts	d ɛ̃ t e ʁ ɛ
d'origine	d ɔ ʁ i ʒ i n
diraient	d i ʁ ɛ
d'issue	d i s y
d'issue	d s y
d'issue	d y
d'outils	d u t i
direcet	d i ʁ s ɛ
direcet	d i ʁ ɛ s ɛ
d'ouvrier	d u v ʁ i j e
directe	d i ʁ ɛ k t
d'obliquer	d ɔ b ʎ i c e
directement	d i ʁ ɛ k t ə m ɑ̃
direction	d i ʁ ɛ k s j ɔ̃
dirent	d i ʁ
dires	d i ʁ
direz	d i ʁ e
d'un	d ɛ̃
dirige	d i ʁ i ʒ
d'une	d y n
dirigeait	d i ʁ i ʒ ɛ
d'obstacles	d ɔ p s t a k l
d'union	d y ɲ ɔ̃
d'âge	d ɑ ʒ
d'âne	d a n
d'âne	d ɑ n
d'écailles	d e k a j
d'écailles	d e k ɑ j
dirigé	d i ʁ i ʒ e
d'échafauder	d e ʃ a f o d e
d'éclairs	d e k l ɛ ʁ
d'éclipse	d e k ʎ i p s
d'écorchures	d e k ɔ ʁ ʃ y ʁ
dirions	d i ʁ j ɔ̃
d'écume	d e k y m
disje	d i s ʒ
d'ombres	d ɔ̃ b ʁ
d'ombres	d ɛ̃ b ʁ
d'optique	d ɔ p t i k
disaient	d i z ɛ
d'égoutier	d e ɡ u t j e
disais	d i z ɛ
d'égoïsme	d e ɡ ɔ i s m
d'orient	d ɔ ʁ j ɑ̃
disaitelle	d i e s t ɛ l
disaitelle	d i s t ɛ l
disaitelle	d i t ɛ l
disaitelle	d i z a s i t ɛ l
disaitelle	d i z i t ɛ l
disaitelle	d i z ɛ l
disaitelle	d i z ɛ t ɛ l
disaitelle	d i ə t ɛ l
disaitelle	d i ɛ s t ɛ l
d'éloignement	d e l w a ɲ m ɑ̃
d'ouate	d u a t
disaitil	d e t i
disaitil	d i z e t i
disaitil	d i z ɛ t i
d'émotion	d e m o s j ɔ̃
d'émotion	d e m ɔ s j ɔ̃
d'oubli	d u b ʎ i
disaiton	d i e t ɔ̃
disaiton	d i t ɔ̃
disaiton	d i z i t ɔ̃
disaiton	d i z ɔ̃
disaiton	d i z ɛ t ɔ̃
disaiton	d i ə t ɔ̃
disaiton	d i ɛ t ɔ̃
d'outrage	d u t ʁ a ʒ
disant	d i z ɑ̃
d'épargner	d e p a ʁ ɲ e
d'ouvrir	d u v ʁ i ʁ
discipline	d i s i p ʎ i n
d'épouvante	d e p u v ɑ̃ t
d'usage	d y z a ʒ
discours	d i s k u ʁ
discret	d i s k ʁ ɛ
discrètement	d i s k ʁ ɛ t m ɑ̃
d'y	d i
d'épée	d e p e
disculpant	d i s k y l p ɑ̃
d'épées	d e p e
discutant	d i s k y t ɑ̃
d'à	d a
d'étain	d e t ɛ̃
disent	d i z
disgrâce	d i s ɡ ʁ ɑ s
d'âpreté	d ɑ p ʁ ə t e
d'étendue	d e t ɑ̃ d y
disiezvous	d i z j e v u
d'écarter	d e k a ʁ t e
d'étoffe	d e t ɔ f
disloquait	d i s l ɔ c ɛ
d'échapper	d e ʃ a p e
disloqué	d i s l ɔ c e
d'éclaboussures	d e k l a b u s y ʁ
disonsle	d i z ɔ̃ l
disonsle	d i z ɔ̃ s l
d'écrire	d e k ʁ i ʁ
d'évasion	d e v a z j ɔ̃
disparaissaient	d i s p a ʁ
disparaissaient	d i s p a ʁ a s ɛ
disparaissaient	d i s p a ʁ i s ɛ
disparaissaient	d i s p a ʁ s i
disparaissaient	d i s p a ʁ s i s ɛ
disparaissaient	d i s p a ʁ s ɛ
d'écroulement	d e k ʁ u l m ɑ̃
disparaît	d i s p a ʁ ɛ
dallage	d a l a ʒ
d'égoutiers	d e ɡ u t j e
dallemagne	d a l a l m a ɲ
dallemagne	d a l m a ɲ
dallemagne	d a l ə m a ɲ
dallemagne	d a l ɛ m a ɲ
disparaître	d i s p a ʁ ɛ t ʁ
d'élargir	d e l a ʁ ʒ i ʁ
disparition	d i s p a ʁ i s j ɔ̃
disparu	d i s p a ʁ y
dames	d a m
disparue	d i s p a ʁ y
damné	d a n e
disparus	d i s p a ʁ y s
d'énormes	d e n ɔ ʁ m
disparut	d i s p a ʁ y
d'épaulement	d e p o l m ɑ̃
dispense	d i s p ɑ̃ s
d'épuiser	d e p ɥ i z e
disperse	d i s p ɛ ʁ s
d'équarrisseur	d e k a ʁ i s œ ʁ
dangereuses	d ɑ̃ ʒ ʁ ø z
dispos	d i s p o
d'éternité	d e t ɛ ʁ ɲ i t e
dangers	d ɑ̃ ʒ e
disposa	d i s p o z a
disposait	d i s p o z ɛ
dispose	d i s p o z
disposition	d i s p o z i s j ɔ̃
disputant	d i s p y t ɑ̃
disque	d i s k
dissimula	d i s i m y l a
danser	d ɑ̃ s e
dissimulation	d i s i m y l a s j ɔ̃
d'étudiants	d e t y d j ɑ̃
dansé	d ɑ̃ s e
dissimulée	d i s i m y l e
dissipaient	d i s i p ɛ
dante	d ɑ̃ t
d'événements	d e v ɛ n m ɑ̃
dissipèrent	d i s i p ɛ ʁ
danton	d ɑ̃ t ɔ̃
dalle	d a l
dissous	d i s u
daron	d a ʁ ɔ̃
dallée	d a l e
distance	d i s t ɑ̃ s
datait	d a t ɛ
datait	d t ɛ
distances	d i s t ɑ̃ s
dauphine	d o f i n
damnée	d a n e
distincte	d i s t ɛ̃ k t
davey	d a v ɛ
distinctement	d i s t ɛ̃ k t ə m ɑ̃
distinguait	d i s t ɛ̃ ɟ ɛ
distingue	d i s t ɛ̃ ɡ
dansa	d ɑ̃ s a
distinguée	d i s t ɛ̃ ɟ e
degré	d ə ɡ ʁ e
delille	d ɛ ʎ i l
danses	d ɑ̃ s
distraire	d i s t ʁ ɛ ʁ
distraite	d i s t ʁ ɛ t
distribua	d i s t ʁ i b ɥ a
daptéon	d a p t e ɔ̃
demandaient	d ə m ɑ̃ d ɛ
distribution	d i s t ʁ i b y s j ɔ̃
date	d a t
demandent	d ə m ɑ̃ d
ditil	d i t i
datent	d a t
demanderai	d ə m ɑ̃ d ʁ e
dauphines	d o f i n
demandez	d ə m ɑ̃ d e
dit	d i
demandé	d ə m ɑ̃ d e
ditcapitulez	d i t k a p i t y l e
ditesvous	d i t e v u
dits	d i
demeuraitil	d ə m œ ʁ e t i
demeuraitil	d ə m œ ʁ ɛ t i
divers	d i v ɛ ʁ
demeurerait	d ə m œ ʁ ə ʁ e
demeurerait	d ə m œ ʁ ə ʁ ɛ
diverses	d i v ɛ ʁ s
demeurons	d ə m œ ʁ ɔ̃
