dijo	d̪ i x o
castigo	k a s t̪ i ɣ o
bondadoso	b o n d̪ a ð o s o
castillete	k a s t̪ i ʎ e t̪ e
castillos	k a s t̪ i ʎ o s
casto	k a s t̪ o
castrense	k a s t̪ ɾ e n s e
callé	k a ʎ e
callé	k ʎ e
casualidad	k a s w a l i ð a ð
calló	k a ʎ o
calmar	k a l m a ɾ
casándola	k a s a n d̪ o l a
calmarme	k a l m a r m e
cataclismo	k a t̪ a k l i s m o
cataplasmas	k a t̪ a p l a s m a s
catedral	k a t̪ e ð ɾ a l
catedráticos	k a t̪ e ð ɾ a t̪ i k o s
catorce	k a t̪ o ɾ θ e
católica	k a t̪ o l i k a
cauce	k a u θ e
causa	k a u s a
causaba	k a u s a β a
causado	k a u s a ð o
calmó	k a l m o
causan	k a u s a n
causara	k a u s a ɾ a
causarme	k a u s a r m e
calofrío	k a l o f ɾ i o
causome	k a u s o m e
causó	k a u s o
boquetes	b o c e t̪ e s
cautela	k a u t̪ e l a
borda	b o r ð a
bordadora	b o r ð a ð o ɾ a
cautelosamente	k a u t̪ e l o s a m e n t̪ e
caverna	k a β e r n a
cavilaciones	k a β i l a θ j o n e s
borraba	b o r a β a
cayeran	k a ʝ e ɾ a n
cayese	k a ʝ e s e
borrar	b o r a ɾ
borriquero	b o r i c e ɾ o
borriquito	b o r i c i t̪ o
cayó	k a ʝ o
caza	k a θ a
cazadores	k a θ a ð o ɾ e s
calumniarme	k a l u m ɲ j a r m e
bosquejaban	b o s c e x a β a n
cazoleta	k a θ o l e t̪ a
bostezo	b o s t̪ e θ o
caí	k a i
calumniosas	k a l u m ɲ j o s a s
botellaquarrrrente	b o t̪ e ʎ a k a r a r e n t̪ e
botellaquarrrrente	b o t̪ e ʎ a k a r a ɾ a r e n t̪ e
botellaquarrrrente	b o t̪ e ʎ a k a r r e n t̪ e
botellaquarrrrente	b o t̪ e ʎ a k a ɾ a r r e n t̪ e
botellaquarrrrente	b o t̪ e ʎ a k w a r r e n t̪ e
boticas	b o t̪ i k a s
caían	k a i a n
calvinistas	k a l β i n i s t̪ a s
calzan	k a l θ a n
botines	b o t̪ i n e s
caída	k a i ð a
calzarse	k a l θ a r s e
calzones	k a l θ o n e s
bozales	b o θ a l e s
caído	k a i ð o
caídos	k a i ð o s
cañonazo	k a ɲ o n a θ o
cañonazos	k a ɲ o n a θ o s
camarada	k a m a ɾ a ð a
cañonazospara	k a ɲ o n a θ o s p a ɾ a
bramó	b ɾ a m o
camarista	k a m a ɾ i s t̪ a
cambiaba	k a m b j a β a
cambiando	k a m b j a n d̪ o
cañones	k a ɲ o n e s
cañutillos	k a ɲ u t̪ i ʎ o s
cambiaría	k a m b j a ɾ i a
bravatas	b ɾ a β a t̪ a s
caótica	k a o t̪ i k a
cambios	k a m b j o s
cebo	θ e β o
caminando	k a m i n a n d̪ o
brazosincliné	b ɾ a θ o s i ŋ k l i n e
breve	b ɾ e β e
cede	θ e ð e
breves	b ɾ e β e s
caminar	k a m i n a ɾ
cederme	θ e ð e r m e
cediendo	θ e ð j e n d̪ o
bribonada	b ɾ i β o n a ð a
cedía	θ e ð i a
bribonzuelo	b ɾ i β o n θ w e l o
brigadas	b ɾ i ɣ a ð a s
brilla	b ɾ i ʎ a
brillaban	b ɾ i ʎ a β a n
brincando	b ɾ i ŋ k a n d̪ o
briosamente	b ɾ j o s a m e n t̪ e
ceguera	θ e ʝ e ɾ a
ceja	θ e x a
bromeaba	b ɾ o m e a β a
caminode	k a m i n o ð e
cejas	θ e x a s
caminé	k a m i n e
celajes	θ e l a ç e s
celebrado	θ e l e β ɾ a ð o
brota	b ɾ o t̪ a
celebridad	θ e l e β ɾ i ð a ð
celebro	θ e l e β ɾ o
celebrose	θ e l e β ɾ o s e
brotaron	b ɾ o t̪ a ɾ o n
celestiales	θ e l e s t̪ j a l e s
camisas	k a m i s a s
campana	k a m p a n a
celos	θ e l o s
brujería	b ɾ u ç e ɾ i a
brujulearnos	b ɾ u x u l e a r n o s
celosías	θ e l o s i a s
campanillas	k a m p a n i ʎ a s
cementerio	θ e m e n t̪ e ɾ j o
campechana	k a m p e tʃ a n a
cena	θ e n a
bruñidas	b ɾ u ɲ i ð a s
campesino	k a m p e s i n o
cenar	θ e n a ɾ
buen	b w e n
canal	k a n a l
cenefas	θ e n e f a s
cenizas	θ e n i θ a s
censurable	θ e n s u ɾ a β l e
centellear	θ e n t̪ e ʎ e a ɾ
cananas	k a n a n a s
centenares	θ e n t̪ e n a ɾ e s
centinela	θ e n t̪ i n e l a
bufando	b u f a n d̪ o
buhardillas	b u a r ð i ʎ a s
central	θ e n t̪ ɾ a l
cancillería	k a n θ i ʎ e ɾ i a
candelabros	k a n d̪ e l a β ɾ o s
candiles	k a n d̪ i l e s
cangrejo	k a ŋ ɡ ɾ e x o
centro	θ e n t̪ ɾ o
cansa	k a n s a
cansada	k a n s a ð a
cansaos	k a n s a o s
cansaron	k a n s a ɾ o n
cantaba	k a n t̪ a β a
cantada	k a n t̪ a ð a
cantaores	k a n t̪ a o ɾ e s
cantara	k a n t̪ a ɾ a
bullanguero	b u l a ɲ ɟ e ɾ o
bullanguero	b u ʎ a ɲ ɟ e ɾ o
bulliciosa	b u ʎ i θ j o s a
centuplicación	θ e n t̪ u p l i k a θ j o n
cantarillo	k a n t̪ a ɾ i ʎ o
cantinas	k a n t̪ i n a s
canté	k a n t̪ e
canónigo	k a n o n i ɣ o
capaces	k a p a θ e s
bullía	b u l i a
bulto	b u l t̪ o
bun	b u n
capeé	k a p e e
cera	θ e ɾ a
capital	k a p i t̪ a l
capitana	k a p i t̪ a n a
burlabais	b u r l a β a i s
capitanearon	k a p i t̪ a n e a ɾ o n
burlando	b u r l a n d̪ o
cercado	θ e r k a ð o
cercados	θ e r k a ð o s
cercano	θ e r k a n o
burlas	b u r l a s
capote	k a p o t̪ e
burle	b u r l e
burlescos	b u r l e s k o s
cercanos	θ e r k a n o s
burláis	b u r l a i s
caprichos	k a p ɾ i tʃ o s
cerciorarse	θ e ɾ θ j o ɾ a r s e
burlándome	b u r l a n d̪ o m e
caprichosos	k a p ɾ i tʃ o s o s
cerebro	θ e ɾ e β ɾ o
capítulos	k a p i t̪ u l o s
caracolitos	k a ɾ a k o l i t̪ o s
ceremonia	θ e ɾ e m o ɲ j a
ceremoniosos	θ e ɾ e m o ɲ j o s o s
buscar	b u s k a ɾ
cerraba	θ e r a β a
carcamales	k a r k a m a l e s
cerrada	θ e r a ð a
buscarle	b u s k a r l e
carceleros	k a ɾ θ e l e ɾ o s
cerrados	θ e r a ð o s
carcomidos	k a r k o m i ð o s
cerrajero	θ e r a ç e ɾ o
buscábamos	b u s k a β a m o s
cerrar	θ e r a ɾ
buscándome	b u s k a n d̪ o m e
carece	k a ɾ e θ e
cerrarla	θ e r a ɾ a r l a
busques	b u s c e s
careces	k a ɾ e θ e s
cerro	θ e r o
cerrojo	θ e r o x o
cerros	θ e r o s
bárbaras	b a r β a ɾ a s
carecía	k a ɾ e θ i a
cerráis	θ e r a i s
carecían	k a ɾ e θ i a n
certero	θ e r t̪ e ɾ o
carestía	k a ɾ e s t̪ i a
cerviz	θ e r β i θ
carga	k a r ɣ a
cesaba	θ e s a β a
búscala	b u s k a l a
cargaba	k a r ɣ a β a
cesado	θ e s a ð o
cabal	k a β a l
cabalitos	k a β a l i t̪ o s
cesar	θ e s a ɾ
caballerosos	k a β a ʎ e ɾ o s o s
cesaron	θ e s a ɾ o n
cargaré	k a r ɣ a ɾ e
cargarían	k a r ɣ a ɾ i a n
cesará	θ e s a ɾ a
cargues	k a r ʝ e s
cesen	θ e s e n
cesto	θ e s t̪ o
cabecera	k a β e θ e ɾ a
ceño	θ e ɲ o
caricia	k a ɾ i θ j a
ceñudo	θ e ɲ u ð o
ceñían	θ e ɲ i a n
caritativa	k a ɾ i t̪ a t̪ i β a
chacós	tʃ a k o s
cabizbajos	k a β i θ β a x o s
cariños	k a ɾ i ɲ o s
cariñosamente	k a ɾ i ɲ o s a m e n t̪ e
cabriolé	k a β ɾ j o l e
chal	tʃ a l
cabían	k a β i a n
cacareando	k a k a ɾ e a n d̪ o
cacúmenes	k a k u m e n e s
carnaza	k a r n a θ a
carnicero	k a r n i θ e ɾ o
carnicería	k a r n i θ e ɾ i a
carnosas	k a r n o s a s
carrascales	k a r a s k a l e s
chalecos	tʃ a l e k o s
carreteros	k a r e t̪ e ɾ o s
chaparros	tʃ a p a r o s
cae	k a e
chapurreado	tʃ a p u r e a ð o
carroza	k a r o θ a
charcos	tʃ a r k o s
charla	tʃ a r l a
charlamoscon	tʃ a r l a m o s k o n
caerle	k a e r l e
charpas	tʃ a r p a s
caeréis	k a e ɾ e i s
charreteras	tʃ a r e t̪ e ɾ a s
charro	tʃ a r o
cartera	k a r t̪ e ɾ a
caiga	k a i ɣ a
chascarrillos	tʃ a s k a r i ʎ o s
cartuchera	k a r t̪ u tʃ e ɾ a
chicas	tʃ i k a s
calada	k a l a ð a
calamidad	k a l a m i ð a ð
chico	tʃ i k o
calamitosos	k a l a m i t̪ o s o s
calaverilla	k a l a β e ɾ i ʎ a
calculábamos	k a l k u l a β a m o s
calderería	k a l d̪ e ɾ e ɾ i a
chicos	tʃ i k o s
caldo	k a l d̪ o
calentando	k a l e n t̪ a n d̪ o
chicuela	tʃ i k w e l a
chicuela	ʃ i k w e l a
chicuelos	tʃ i k w e l o s
chicuelos	ʃ i k w e l o s
chillar	tʃ i ʎ a ɾ
calenturas	k a l e n t̪ u ɾ a s
calentándolas	k a l e n t̪ a n d̪ o l a s
calibre	k a l i β ɾ e
calificaban	k a l i f i k a β a n
chille	tʃ i ʎ e
casaban	k a s a β a n
chillonas	tʃ i ʎ o n a s
casaca	k a s a k a
casacas	k a s a k a s
calleja	k a ʎ e x a
callejuelas	k a ʎ e x w e l a s
casaremos	k a s a ɾ e m o s
casaros	k a s a ɾ o s
chiquilla	tʃ i c i ʎ a
casará	k a s a ɾ a
chiquillo	tʃ i c i ʎ o
casaréis	k a s a ɾ e i s
callo	k a ʎ o
chiquillos	tʃ i c i ʎ o s
cascada	k a s k a ð a
case	k a s e
caserones	k a s e ɾ o n e s
casillas	k a s i ʎ a s
chirrido	tʃ i r i ð o
castidad	k a s t̪ i ð a ð
chispa	tʃ i s p a
castigadas	k a s t̪ i ɣ a ð a s
castigar	k a s t̪ i ɣ a ɾ
castigarnos	k a s t̪ i ɣ a r n o s
chispas	tʃ i s p a s
calmara	k a l m a ɾ a
chispazos	tʃ i s p a θ o s
calmarnos	k a l m a r n o s
castigos	k a s t̪ i ɣ o s
chispería	tʃ i s p e ɾ i a
castillo	k a s t̪ i ʎ o
calumniar	k a l u m ɲ j a ɾ
chisporroteo	tʃ i s p o r o t̪ e o
chistes	tʃ i s t̪ e s
chitón	tʃ i t̪ o n
chocaban	tʃ o k a β a n
chocar	tʃ o k a ɾ
chocolate	tʃ o k o l a t̪ e
choques	tʃ o c e s
calumnias	k a l u m ɲ j a s
calumnié	k a l u m ɲ j e
chorro	tʃ o r o
calurosas	k a l u ɾ o s a s
calzados	k a l θ a ð o s
calzo	k a l θ o
calzón	k a l θ o n
chuchería	tʃ u tʃ e ɾ i a
chupadita	tʃ u p a ð i t̪ a
castísima	k a s t̪ i s i m a
casáis	k a s a i s
casándose	k a s a n d̪ o s e
chupándomelo	tʃ u p a n d̪ o m e l o
chusma	tʃ u s m a
cambia	k a m b j a
catan	k a t̪ a n
catapéltica	k a t̪ a p e l t̪ i k a
ciegamente	θ j e ɣ a m e n t̪ e
cambiamos	k a m b j a m o s
catedrales	k a t̪ e ð ɾ a l e s
ciegos	θ j e ɣ o s
cielo	θ j e l o
cambiar	k a m b j a ɾ
categoría	k a t̪ e ɣ o ɾ i a
catástrofe	k a t̪ a s t̪ ɾ o f e
causarle	k a u s a r l e
causas	k a u s a s
cambié	k a m b j e
causticidad	k a u s t̪ i θ i ð a ð
cauterizando	k a u t̪ e ɾ i θ a n d̪ o
cielos	θ j e l o s
cautivos	k a u t̪ i β o s
ciencia	θ j e n θ j a
caminamos	k a m i n a m o s
cavaban	k a β a β a n
cayera	k a ʝ e ɾ a
ciento	θ j e n t̪ o
cayeransobre	k a ʝ e ɾ a n s o β ɾ e
científicos	θ j e n t̪ i f i k o s
caminó	k a m i n o
cazador	k a θ a ð o ɾ
cierre	θ j e r e
cierta	θ j e r t̪ a
ciertas	θ j e r t̪ a s
cazando	k a θ a n d̪ o
cazuela	k a θ w e l a
caía	k a i a
cierto	θ j e r t̪ o
campanadas	k a m p a n a ð a s
caídas	k a i ð a s
ciertos	θ j e r t̪ o s
cigarreras	θ i ɣ a r e ɾ a s
campaneros	k a m p a n e ɾ o s
cimas	θ i m a s
cimientos	θ i m j e n t̪ o s
cinco	θ i ŋ k o
cincuenta	θ i ŋ k w e n t̪ a
cintas	θ i n t̪ a s
campeaba	k a m p e a β a
cañamones	k a ɲ a m o n e s
campeones	k a m p e o n e s
campiña	k a m p i ɲ a
cintura	θ i n t̪ u ɾ a
canam	k a n a m
canam	k a n a n
canas	k a n a s
canciones	k a n θ i o n e s
canciones	k a n θ j o n e s
cañoneaba	k a ɲ o n e a β a
cañonearnos	k a ɲ o n e a r n o s
circulación	θ i r k u l a θ j o n
candoroso	k a n d̪ o ɾ o s o
cañón	k a ɲ o n
cebaban	θ e β a β a n
circunstancia	θ i r k u n s t̪ a n θ j a
ceder	θ e ð e ɾ
circunstancias	θ i r k u n s t̪ a n θ j a s
circunstantes	θ i r k u n s t̪ a n t̪ e s
cederé	θ e ð e ɾ e
cedido	θ e ð i ð o
cedió	θ e ð j o
cegar	θ e ɣ a ɾ
cansaré	k a n s a ɾ e
cirujano	θ i ɾ u x a n o
citaba	θ i t̪ a β a
cantan	k a n t̪ a n
citado	θ i t̪ a ð o
celaje	θ e l a ç e
ciudad	θ j u ð a ð
ciudades	θ j u ð a ð e s
civilísima	θ i β i l i s i m a
celebra	θ e l e β ɾ a
celebrarse	θ e l e β ɾ a r s e
ciñe	θ i ɲ e
clama	k l a m a
clamaban	k l a m a β a n
clamores	k l a m o ɾ e s
cantidad	k a n t̪ i ð a ð
clara	k l a ɾ a
celeste	θ e l e s t̪ e
claras	k l a ɾ a s
celestial	θ e l e s t̪ j a l
celo	θ e l o
clareó	k l a ɾ e o
cantos	k a n t̪ o s
claridad	k l a ɾ i ð a ð
cantó	k a n t̪ o
claridades	k l a ɾ i ð a ð e s
celosísimamente	θ e l o s i s i m a m e n t̪ e
clase	k l a s e
ceniza	θ e n i θ a
clases	k l a s e s
claustro	k l a u s t̪ ɾ o
clavaban	k l a β a β a n
capitaneaba	k a p i t̪ a n e a β a
capitanes	k a p i t̪ a n e s
cenobíticas	θ e n o β i t̪ i k a s
centellas	θ e n t̪ e ʎ a s
clavado	k l a β a ð o
clavar	k l a β a ɾ
centinelas	θ e n t̪ i n e l a s
capitulado	k a p i t̪ u l a ð o
clavarlos	k l a β a r l o s
clavel	k l a β e l
centuplicadas	θ e n t̪ u p l i k a ð a s
capones	k a p o n e s
claven	k l a β e n
clavo	k l a β o
clavábame	k l a β a β a m e
capricho	k a p ɾ i tʃ o
cercaban	θ e r k a β a n
cercana	θ e r k a n a
caprichosas	k a p ɾ i tʃ o s a s
clavó	k l a β o
climas	k l i m a s
clásica	k l a s i k a
clásicos	k l a s i k o s
carabineros	k a ɾ a β i n e ɾ o s
clérigo	k l e ɾ i ɣ o
coalición	k o a l i θ j o n
cobarde	k o β a r ð e
cobardía	k o β a r ð i a
carbonero	k a r β o n e ɾ o
cobrar	k o β ɾ a ɾ
cobrarnos	k o β ɾ a r n o s
cocer	k o θ e ɾ
coche	k o tʃ e
carcere	k a ɾ θ e ɾ e
cerciorada	θ e ɾ θ j o ɾ a ð a
cerebral	θ e ɾ e β ɾ a l
cochecillo	k o tʃ e θ i ʎ o
coches	k o tʃ e s
cerebros	θ e ɾ e β ɾ o s
ceremonioso	θ e ɾ e m o ɲ j o s o
cocina	k o θ i n a
cerneja	θ e r n e x a
cerradas	θ e r a ð a s
cerradura	θ e r a ð u ɾ a
cerramos	θ e r a m o s
carcoma	k a r k o m a
cardo	k a r ð o
carecer	k a ɾ e θ e ɾ
cerrarle	θ e r a ɾ a r l e
cocineros	k o θ i n e ɾ o s
careciendo	k a ɾ e θ j e n d̪ o
codiciada	k o ð i θ j a ð a
codos	k o ð o s
cerrojos	θ e r o x o s
coffré	k o f ɾ e
coge	k o ç e
cerró	θ e r o
cargada	k a r ɣ a ð a
cogemos	k o ç e m o s
cogeremos	k o ç e ɾ e m o s
certeza	θ e r t̪ e θ a
cargamento	k a r ɣ a m e n t̪ o
cargarla	k a r ɣ a r l a
cesa	θ e s a
cesaban	θ e s a β a n
cogería	k o ç e ɾ i a
cargas	k a r ɣ a s
cesan	θ e s a n
cargos	k a r ɣ o s
cogida	k o ç i ð a
cargó	k a r ɣ o
cogido	k o ç i ð o
cesase	θ e s a s e
cogieron	k o x j e ɾ o n
cogimos	k o ç i m o s
cogiome	k o x j o m e
cesta	θ e s t̪ a
cesó	θ e s o
cetera	θ e t̪ e ɾ a
carilla	k a ɾ i ʎ a
caritativo	k a ɾ i t̪ a t̪ i β o
ceñuda	θ e ɲ u ð a
cogí	k o ç i
cogían	k o ç i a n
coincidencia	k o i n θ i ð e n θ j a
ceñía	θ e ɲ i a
cojear	k o ç e a ɾ
chabacano	tʃ a β a k a n o
chantre	tʃ a n t̪ ɾ e
chapas	tʃ a p a s
chapeada	tʃ a p e a ð a
chaqueta	tʃ a c e t̪ a
charco	tʃ a r k o
charlaba	tʃ a r l a β a
charlando	tʃ a r l a n d̪ o
charpa	tʃ a r p a
charra	tʃ a r a
cojines	k o ç i n e s
col	k o l
cola	k o l a
carmesí	k a r m e s i
colaron	k o l a ɾ o n
chasquido	tʃ a s c i ð o
chato	tʃ a t̪ o
chaveta	tʃ a β e t̪ a
chica	tʃ i k a
colcha	k o l tʃ a
colchón	k o l tʃ o n
colecticia	k o l e ɣ t̪ i θ j a
colegio	k o l e x j o
coleto	k o l e t̪ o
chichón	tʃ i tʃ o n
colgado	k o l ɣ a ð o
colgar	k o l ɣ a ɾ
colgó	k o l ɣ o
colindantes	k o l i n d̪ a n t̪ e s
colmo	k o l m o
colocada	k o l o k a ð a
colocadas	k o l o k a ð a s
colocara	k o l o k a ɾ a
colocaron	k o l o k a ɾ o n
carpintero	k a r p i n t̪ e ɾ o
colocó	k o l o k o
chillaba	tʃ i ʎ a β a
chillido	tʃ i ʎ i ð o
coloquio	k o l o k j o
carretería	k a r e t̪ e ɾ i a
color	k o l o ɾ
colorado	k o l o ɾ a ð o
colores	k o l o ɾ e s
colosal	k o l o s a l
colosos	k o l o s o s
columnas	k o l u m n a s
carricoches	k a r i k o tʃ e s
columnatas	k o l u m n a t̪ a s
colérico	k o l e ɾ i k o
coma	k o m a
chisme	tʃ i s m e
cartagineses	k a r t̪ a ç i n e s e s
carteras	k a r t̪ e ɾ a s
comadre	k o m a ð ɾ e
comandante	k o m a n d̪ a n t̪ e
cartucheras	k a r t̪ u tʃ e ɾ a s
chisperos	tʃ i s p e ɾ o s
chisporroteando	tʃ i s p o r o t̪ e a n d̪ o
combate	k o m b a t̪ e
cartón	k a r t̪ o n
chistoso	tʃ i s t̪ o s o
chocando	tʃ o k a n d̪ o
choque	tʃ o c e
combates	k o m b a t̪ e s
combatido	k o m b a t̪ i ð o
combatir	k o m b a t̪ i ɾ
choricero	tʃ o ɾ i θ e ɾ o
chorros	tʃ o r o s
chupa	tʃ u p a
chupaba	tʃ u p a β a
combinadas	k o m b i n a ð a s
combustión	k o m b u s t̪ j o n
come	k o m e
comediantes	k o m e ð j a n t̪ e s
comedimiento	k o m e ð i m j e n t̪ o
comedor	k o m e ð o ɾ
comencé	k o m e n θ e
comentando	k o m e n t̪ a n d̪ o
comentarios	k o m e n t̪ a ɾ j o s
casada	k a s a ð a
casade	k a s a ð e
casados	k a s a ð o s
chupen	tʃ u p e n
casan	k a s a n
comenzado	k o m e n θ a ð o
chupándose	tʃ u p a n d̪ o s e
casaquín	k a s a c i n
comenzaron	k o m e n θ a ɾ o n
chuscos	tʃ u s k o s
comer	k o m e ɾ
ciega	θ j e ɣ a
casara	k a s a ɾ a
ciego	θ j e ɣ o
casarnos	k a s a r n o s
comerciante	k o m e ɾ θ j a n t̪ e
comerciantes	k o m e ɾ θ j a n t̪ e s
cascabeles	k a s k a β e l e s
cien	θ j e n
cientos	θ j e n t̪ o s
comerme	k o m e r m e
comerse	k o m e r s e
caserío	k a s e ɾ i o
cierran	θ j e r a n
comes	k o m e s
caseríos	k a s e ɾ i o s
cierren	θ j e r e n
cometa	k o m e t̪ a
cometen	k o m e t̪ e n
cometerán	k o m e t̪ e ɾ a n
cometió	k o m e t̪ j o
comida	k o m i ð a
ciertamente	θ j e r t̪ a m e n t̪ e
comido	k o m i ð o
comiendo	k o m j e n d̪ o
comiese	k o m j e s e
comiquilla	k o m i c i ʎ a
cifra	θ i f ɾ a
casorio	k a s o ɾ j o
comisario	k o m i s a ɾ j o
cifrasfabulosas	θ i f ɾ a s f a β u l o s a s
castañera	k a s t̪ a ɲ e ɾ a
comisionado	k o m i s j o n a ð o
cincel	θ i n θ e l
castellanas	k a s t̪ e ʎ a n a s
castellanos	k a s t̪ e ʎ a n o s
castigaba	k a s t̪ i ɣ a β a
comisión	k o m i s j o n
comistrajo	k o m i s t̪ ɾ a x o
como	k o m o
cinta	θ i n t̪ a
castigarme	k a s t̪ i ɣ a r m e
comodidad	k o m o ð i ð a ð
comodidades	k o m o ð i ð a ð e s
cintarazos	θ i n t̪ a ɾ a θ o s
castigaría	k a s t̪ i ɣ a ɾ i a
compadecería	k o m p a ð e θ e ɾ i a
compadrar	k o m p a ð ɾ a ɾ
comparables	k o m p a ɾ a β l e s
cinto	θ i n t̪ o
comparación	k o m p a ɾ a θ j o n
cinturón	θ i n t̪ u ɾ o n
comparados	k o m p a ɾ a ð o s
comparta	k o m p a r t̪ a
circular	θ i r k u l a ɾ
casualmente	k a s w a l m e n t̪ e
comparte	k o m p a r t̪ e
circunspecta	θ i r k u n s p e k t̪ a
circunspecta	θ i r k u n s p e ɣ t̪ a
casé	k a s e
compasiva	k o m p a s i β a
circunstanciada	θ i r k u n s t̪ a n θ j a ð a
cata	k a t̪ a
catadura	k a t̪ a ð u ɾ a
catarata	k a t̪ a ɾ a t̪ a
compasivas	k o m p a s i β a s
compasivo	k o m p a s i β o
categórica	k a t̪ e ɣ o ɾ i k a
compasión	k o m p a s j o n
caudal	k a u ð a l
cirio	θ i ɾ j o
compatriota	k o m p a t̪ ɾ j o t̪ a
compatriotas	k o m p a t̪ ɾ j o t̪ a s
compañera	k o m p a ɲ e ɾ a
compañero	k o m p a ɲ e ɾ o
compañeros	k o m p a ɲ e ɾ o s
cisco	θ i s k o
citada	θ i t̪ a ð a
compañía	k o m p a ɲ i a
causaban	k a u s a β a n
citados	θ i t̪ a ð o s
compañías	k o m p a ɲ i a s
competir	k o m p e t̪ i ɾ
compinche	k o m p i n tʃ e
complacer	k o m p l a θ e ɾ
complacido	k o m p l a θ i ð o
complaciéndose	k o m p l a θ j e n d̪ o s e
causar	k a u s a ɾ
completaba	k o m p l e t̪ a β a
causaría	k a u s a ɾ i a
causo	k a u s o
ciudadanos	θ j u ð a ð a n o s
completando	k o m p l e t̪ a n d̪ o
completas	k o m p l e t̪ a s
causábale	k a u s a β a l
causábale	k a u s a β a l e
cautiva	k a u t̪ i β a
completo	k o m p l e t̪ o
civilización	θ i β i l i θ a θ j o n
cautivaban	k a u t̪ i β a β a n
complicidad	k o m p l i θ i ð a ð
clamaba	k l a m a β a
cautivan	k a u t̪ i β a n
componer	k o m p o n e ɾ
clamavi	k l a m a β i
cautivó	k a u t̪ i β o
componían	k o m p o n i a n
clamor	k l a m o ɾ
cavidades	k a β i ð a ð e s
cavilar	k a β i l a ɾ
claraboya	k l a ɾ a β o ʝ a
composición	k o m p o s i θ j o n
compra	k o m p ɾ a
comprado	k o m p ɾ a ð o
compradores	k o m p ɾ a ð o ɾ e s
clarea	k l a ɾ e a
clareaban	k l a ɾ e a β a n
comprar	k o m p ɾ a ɾ
comprarlo	k o m p ɾ a r l o
compre	k o m p ɾ e
claro	k l a ɾ o
cavilo	k a β i l o
claros	k l a ɾ o s
comprenda	k o m p ɾ e n d̪ a
comprendemos	k o m p ɾ e n d̪ e m o s
cayendo	k a ʝ e n d̪ o
cayeron	k a ʝ e ɾ o n
cayo	k a ʝ o
cayéndome	k a ʝ e n d̪ o m e
clavaba	k l a β a β a
clavada	k l a β a ð a
cayósele	k a ʝ o s e l e
cazar	k a θ a ɾ
comprenderá	k o m p ɾ e n d̪ e ɾ a
comprenderás	k o m p ɾ e n d̪ e ɾ a s
clavados	k l a β a ð o s
comprendido	k o m p ɾ e n d̪ i ð o
clavarlas	k l a β a r l a s
clave	k l a β e
claveles	k l a β e l e s
comprendiendo	k o m p ɾ e n d̪ j e n d̪ o
comprendió	k o m p ɾ e n d̪ j o
clavos	k l a β o s
comprendo	k o m p ɾ e n d̪ o
comprendí	k o m p ɾ e n d̪ i
comprendía	k o m p ɾ e n d̪ i a
caímos	k a i m o s
clavándole	k l a β a n d̪ o l e
cañoncillos	k a ɲ o n θ i ʎ o s
comprendían	k o m p ɾ e n d̪ i a n
club	k l u β
cañoneo	k a ɲ o n e o
compro	k o m p ɾ o
comprometer	k o m p ɾ o m e t̪ e ɾ
clubs	k l u β s
comprometiera	k o m p ɾ o m e t̪ j e ɾ a
compromiso	k o m p ɾ o m i s o
clásicas	k l a s i k a s
compré	k o m p ɾ e
compró	k o m p ɾ o
compuesta	k o m p w e s t̪ a
compuesto	k o m p w e s t̪ o
compungida	k o m p u ɲ ç i ð a
compusieron	k o m p u s j e ɾ o n
compás	k o m p a s
comunes	k o m u n e s
comunicación	k o m u n i k a θ j o n
comunicarle	k o m u n i k a r l e
comunicó	k o m u n i k o
comunidades	k o m u n i ð a ð e s
cobardes	k o β a r ð e s
conambas	k o n a m b a s
cobran	k o β ɾ a n
cobrarlo	k o β ɾ a r l o
cobre	k o β ɾ e
coces	k o θ e s
cocheras	k o tʃ e ɾ a s
conceder	k o n θ e ð e ɾ
cocheros	k o tʃ e ɾ o s
cebada	θ e β a ð a
ceca	θ e k a
concederá	k o n θ e ð e ɾ a
concediese	k o n θ e ð j e s e
concepto	k o n θ e β t̪ o
conceptuarías	k o n θ e β t̪ w a ɾ i a s
cediera	θ e ð j e ɾ a
cocinas	k o θ i n a s
concertada	k o n θ e r t̪ a ð a
concertar	k o n θ e r t̪ a ɾ
cegaba	θ e ɣ a β a
conchas	k o n tʃ a s
concibieron	k o n θ i β j e ɾ o n
codazos	k o ð a θ o s
codicia	k o ð i θ j a
conciencia	k o n θ j e n θ j a
celda	θ e l d̪ a
codo	k o ð o
concierto	k o n θ j e r t̪ o
celebraron	θ e l e β ɾ a ɾ o n
conciliadoras	k o n θ i l j a ð o ɾ a s
concluido	k o ŋ k l w i ð o
concluir	k o ŋ k l w i ɾ
concluiré	k o ŋ k l w i ɾ e
cofres	k o f ɾ e s
coged	k o ç e ð
concluye	k o ŋ k l u ʝ e
coger	k o ç e ɾ
concluyendo	k o ŋ k l u ʝ e n d̪ o
cogernos	k o ç e r n o s
cogerán	k o ç e ɾ a n
cogerían	k o ç e ɾ i a n
concluyó	k o ŋ k l u ʝ o
concluí	k o ŋ k l w i
concordaba	k o ŋ k o r ð a β a
concuerde	k o ŋ k w e r ð e
concupiscencia	k o ŋ k u p i s θ e n θ j a
cogidos	k o ç i ð o s
concurriendo	k o ŋ k u r j e n d̪ o
celosos	θ e l o s o s
cogió	k o x j o
cogulla	k o ɣ u ʎ a
cojeando	k o ç e a n d̪ o
