du	d uː
flatterten	f l a tʰ ɐ tʰ n̩
fernsten	f ɛ ʁ n s t n̩
flehend	f l eː ə n t
fesseln	f ɛ s l̩ n
feurigsten	f ɔʏ ʁ ɪ ç s t n̩
fleisch	f l aj ʃ
fieberanfällen	f iː b ɐ a n f ɛ l n̩
fleißig	f l aj s ɪ ç
fliege	f l iː ɡ ə
figuren	f ɪ ɡ uː ɐ n
feste	f ɛ s t ə
fliegen	f l iː ɡ n̩
fester	f ɛ s t ɐ
fliegst	f l iː k s t
festgestellt	f ɛ s t ɡ ə ʃ t ɛ l t
fliegt	f l iː k t
fliegt	f l iː ç t
flieh	f l iː
fliehen	f l iː n̩
fing	f ɪ ŋ
festlich	f ɛ s t l ɪ ç
fliehende	f l iː ə n d ə
festlicher	f ɛ s t l ɪ ç ɐ
flimmerten	f l ɪ m ɐ tʰ n̩
flirren	f l ɪ ʁ n̩
flocken	f l ɔ kʰ n̩
festnisten	f ɛ s t n ɪ s t n̩
flog	f l oː k
fingerbreites	f ɪ ŋ ɐ b ʁ aj tʰ ə s
feststellte	f ɛ s t ʃ t ɛ l tʰ ə
festzuhalten	f ɛ s ts ʊ h a l tʰ n̩
fingern	f ɪ ŋ ɐ n
flogen	f l ɔ ɟ eː n
feuchten	f ɔʏ ç tʰ n̩
floh	f l oː
feuerdrache	f ɔʏ ɐ d ʁ a x ə
fingerspitzen	f ɪ ŋ ɐ ʃ p ɪ ts n̩
feuerfunken	f ɔʏ ɐ f ʊ ŋ kʰ n̩
feuerkugel	f ɔʏ ɐ kʰ uː ɡ l̩
finsteren	f ɪ n s t ɐ n
feuerluke	f ɔʏ ɐ l uː kʰ ə
finstern	f ɪ n s t ɐ n
finstrem	f ɪ n s t ʁ m̩
flohbändiger	f l oː b ɛ n d ɪ ɡ ɐ
feuerrote	f ɔʏ ɐ ʁ oː tʰ ə
finten	f ɪ n tʰ n̩
feuerroten	f ɔʏ ɐ ʁ oː tʰ n̩
flohkönig	f l oː cʰ øː n ɪ ç
feuerschein	f ɔʏ ɐ ʃ aj n
fischbottich	f ɪ ʃ b ɔ tʰ ɪ ç
flohs	f l oː s
feuerstrahlende	f ɔʏ ɐ ʃ t ʁ aː l ə n d ə
feuerstrahlende	f ɔʏ ɐ ʃ t ʁ aː l ə n t
fischer	f ɪ ʃ ɐ
flor	f l oː ɐ
fieber	f iː b ɐ
flotte	f l ɔ tʰ ə
fischerburschen	f ɪ ʃ ɛ ɐ b ʊ ʁ ʃ n̩
fiebertraum	f iː b ɐ t ʁ aw m
fischern	f ɪ ʃ ɐ n
fischern	f ɪ ʃ ə ʁ n
fischerpaar	f ɪ ʃ ɐ pʰ aː ɐ
fielen	f iː l n̩
flucht	f l ʊ x t
fischersleute	f ɪ ʃ ɛ ʁ s l ɔʏ tʰ ə
flugbegabten	f l uː k b ə ɡ aː p tʰ n̩
fischfanggeräten	f ɪ ʃ f a ŋ ɡ ə ʁ eː tʰ n̩
flugwerk	f l uː k v ɛ ʁ k
fischhaut	f ɪ ʃ h aw t
flur	f l uː ɐ
fischleib	f ɪ ʃ l aj p
flut	f l uː t
fischweib	f ɪ ʃ v aj p
fläche	f l ɛ ç ə
fittiche	f ɪ tʰ ɪ ç ə
flöhen	f l øː n̩
flach	f l a x
fingen	f ɪ ŋ n̩
fingerdicken	f ɪ ŋ ɐ d ɪ kʰ n̩
flachen	f l a x n̩
flüchteten	f l ʏ ç tʰ eː tʰ n̩
fingerhuttasse	f ɪ ŋ ɐ h ʊ tʰ a s ə
flackernder	f l a kʰ ɐ n d ə ʁ
flaggen	f l a ɡ n̩
flammen	f l a m n̩
flammigen	f l a m ɪ ɡ n̩
flasche	f l a ʃ ə
flügel	f l yː ɡ l̩
flügeltüren	f l yː ɡ l̩ tʰ yː ʁ n̩
flattert	f l a tʰ ɐ t
finstere	f ɪ n s t ɐ
flüsternd	f l ʏ s t ɐ n t
flau	f l aw
finsterm	f ɪ n s t ɐ m
finstre	f ɪ n s t ʁ ə
finstren	f ɪ n s t ʁ eː n
folgen	f ɔ l ɡ n̩
fleck	f l ɛ k
fischblau	f ɪ ʃ b l aw
folgenden	f ɔ l ɡ ə n d n̩
flehen	f l eː n̩
folglich	f ɔ l k l ɪ ç
flehte	f l eː tʰ ə
fischen	f ɪ ʃ n̩
folgt	f ɔ l k t
folgte	f ɔ l k tʰ ə
fleiß	f l aj s
fischerboot	f ɪ ʃ ɛ ɐ b oː t
folgten	f ɔ l k tʰ n̩
fischerhaus	f ɪ ʃ ɐ h aw s
folioband	f oː l ɪ oː b a n t
fleißiger	f l aj s ɪ ç ɐ
fleißiger	f l aj s ɪ ɡ ɐ
fischermädchen	f ɪ ʃ ɛ ɐ m eː t ç n̩
form	f ɔ ʁ m
formen	f ɔ ʁ m n̩
formte	f ɔ ʁ m tʰ ə
fort	f oː ʁ
fort	f ɔ ʁ t
fliegendem	f l iː ɟ ɛ n d m̩
fliegendem	f l iː ɡ ə n d eː m
fischersohnes	f ɪ ʃ ɐ z oː n ə s
fischersohnes	f ɪ ʃ ɛ ɐ z oː n ə s
fortarbeitete	f ɔ ʁ tʰ a ʁ b aj tʰ ə tʰ ə
fischgeruch	f ɪ ʃ ɡ ə ʁ ʊ x
fortfahren	f ɔ ʁ t f aː ʁ n̩
fliehe	f l iː eː ə
fliehe	f l iː ə
fischleer	f ɪ ʃ l eː ɐ
fortfuhr	f ɔ ʁ t f uː ɐ
fischschweif	f ɪ ʃ v aj f
fortgegangen	f ɔ ʁ t ɟ eː ɡ a ŋ n̩
fortgegangen	f ɔ ʁ t ɡ ə ɡ a ŋ n̩
fließen	f l iː s n̩
fixierte	f ɪ k s iː ʁ tʰ ə
fortgehen	f ɔ ʁ t ɟ eː n̩
flimmerndem	f l ɪ m ɐ n d m̩
flackernde	f l a kʰ ɐ n d ə
fortgenommen	f ɔ ʁ t ɡ ə n ɔ m n̩
flinker	f l ɪ ŋ kʰ ɐ
flackerten	f l a kʰ ɐ tʰ n̩
fortgerissen	f ɔ ʁ t ɡ ə ʁ ɪ s n̩
flitterwochenstimmung	f l ɪ tʰ ɐ v ɔ x n̩ ʃ t ɪ m ʊ ŋ
fortgeschlichen	f ɔ ʁ t ɡ ə ʃ l ɪ ç n̩
flohbändigers	f l oː b ɛ n d ɪ ɡ ɐ s
flammendes	f l a m ə n d ə s
fortgetrieben	f ɔ ʁ t ɡ ə t ʁ iː b n̩
fortgezogen	f ɔ ʁ t ɡ ə ts oː ɡ n̩
fortrannte	f ɔ ʁ t ʁ a n tʰ ə
flatternd	f l a tʰ ɐ n t
fluch	f l uː x
fortschaffen	f ɔ ʁ t ʃ a f n̩
flatterte	f l a tʰ ɐ tʰ ə
fortschleppend	f ɔ ʁ t ʃ l ɛ pʰ ə n t
flug	f l uː k
fortsiehst	f ɔ ʁ t z iː s t
fluges	f l uː ɡ ə s
forttrug	f ɔ ɐ t ʁ uː x
fluglinie	f l ʊ ɡ l iː n j ə
fortwuchernden	f ɔ ʁ t v uː x ɐ n d n̩
fluidum	f l uː ɪ d ʊ m
fortzubringen	f ɔ ʁ ts uː b ʁ ɪ ŋ n̩
fleißigen	f l aj s ɪ ç n̩
fleißigen	f l aj s ɪ ɟ eː n
fleißigen	f l aj s ɪ ɡ n̩
fortzuspinnen	f ɔ ʁ ts uː ʃ p ɪ n n̩
flurs	f l uː ɐ s
flurs	f l uː ʁ s
fragen	f ʁ aː ɡ n̩
fragt	f ʁ aː k t
fragte	f ʁ aː k tʰ ə
frankfurt	f ʁ a ŋ k f ʊ ʁ t
fliegenden	f l iː ɟ ɛ n d n̩
fliegenden	f l iː ɡ ə n d n̩
französischen	f ʁ a n ts øː z ɪ ʃ n̩
flieht	f l iː t
frau	f ʁ aw
flimmerte	f l ɪ m ɐ tʰ ə
flögen	f l øː ɡ n̩
flink	f l ɪ ŋ k
flöhe	f l øː ə
flinke	f l ɪ ŋ kʰ ə
flößten	f l øː s t n̩
frauen	f ʁ aw n̩
flinten	f l ɪ n tʰ n̩
flüchtig	f l ʏ ç tʰ ɪ ç
frauengedränge	f ʁ aw ə n ɡ ə d ʁ ɛ ŋ ə
flocht	f l ɔ x t
flüchtige	f l ʏ ç tʰ ɪ ɡ ə
frauenstimme	f ʁ aw ə n ʃ t ɪ m ə
flockengewebe	f l ɔ kʰ n̩ ɡ ə v eː b ə
flockengewebe	f l ɔ kʰ ə n ɡ ə v eː b ə
flügeln	f l yː ɡ l̩ n
frauenwillen	f ʁ aw ə n v ɪ l n̩
flüggen	f l ʏ ɡ n̩
frauenzimmers	f ʁ aw ə n ts ɪ m ɐ s
flüstern	f l ʏ s t ɐ n
freie	f ʁ aj ə
flüstre	f l ʏ s t ʁ ə
freies	f ʁ aj ə s
floß	f l oː s
folge	f ɔ l ɡ ə
freiheit	f ʁ aj h aj t
folgende	f ɔ l ɡ ə n d ə
fluchwürdige	f l uː x v ʏ ʁ d ɪ ɡ ə
folgendergestalt	f ɔ l ɡ ə n d ɐ ɡ ə ʃ t a l t
freiheitssinn	f ʁ aj h aj ts z ɪ n
flugmaschine	f l uː k m a ʃ iː n ə
for	f ɔ ɐ
freiwerber	f ʁ aj v ɛ ʁ b ɐ
forderte	f ɔ ʁ d ɐ tʰ ə
fremdartig	f ʁ ɛ m tʰ aː ɐ tʰ ɪ k
fremdartig	f ʁ ɛ m tʰ aː ɐ tʰ ɪ ç
forschen	f ɔ ʁ ʃ n̩
fremdartiges	f ʁ ɛ m tʰ aː ɐ tʰ ɪ ɡ ə s
flüchtend	f l ʏ ç tʰ n̩ t
flüchtling	f l ʏ ç t l ɪ ŋ
fremden	f ʁ ɛ m d n̩
fortblühen	f ɔ ɐ t b l yː n̩
fortblühen	f ɔ ʁ t b l yː n̩
fremdling	f ʁ ɛ m t l ɪ ŋ
fortbringen	f ɔ ɐ t b ʁ ɪ ŋ n̩
fortbringen	f ɔ ʁ t b ʁ ɪ ŋ n̩
flüssigem	f l ʏ s ɪ ɡ m̩
freude	f ʁ ɔʏ d ə
fortflögen	f ɔ ʁ t f l øː ɡ n̩
flüsterte	f l ʏ s t ɐ tʰ ə
fortgeflogen	f ɔ ʁ t ɡ ə f l ɔ ɟ eː n
freuden	f ʁ ɔʏ d n̩
freudenloses	f ʁ ɔʏ d n̩ l oː z ə s
folgender	f ɔ l ɡ ə n d ɐ
freudentag	f ʁ ɔʏ d n̩ tʰ aː k
folgendes	f ɔ l ɡ ə n d ə s
fortgeschleuderte	f ɔ ʁ t ɡ ə ʃ l ɔʏ d ɐ tʰ ə
fortgeschleuderte	f ɔ ʁ t ɡ ə ʃ l ɔʏ d ə ʁ tʰ ə
freudig	f ʁ ɔʏ d ɪ ç
fortgesetzt	f ɔ ʁ t ɡ ə z ɛ ts t
freudige	f ʁ ɔʏ d ɪ ɡ ə
freudiger	f ʁ ɔʏ d ɪ ɡ ɐ
freudigtun	f ʁ ɔʏ d ɪ ç tʰ uː n
freun	f ʁ ɔʏ n
freund	f ʁ ɔʏ n t
fonds	f ɔ n t s
freunde	f ʁ ɔʏ n d ə
fortreiße	f ɔ ʁ t ʁ aj s ə
fordert	f ɔ ʁ d ɐ t
freunden	f ʁ ɔʏ n tʰ n̩
forts	f ɔ ʁ t s
formt	f ɔ ʁ m t
freundes	f ʁ ɔʏ n d ə s
fortschickt	f ɔ ʁ t ʃ ɪ k t
freundinnen	f ʁ ɔʏ n d ɪ n n̩
freundlich	f ʁ ɔʏ n t l ɪ ç
freundlichen	f ʁ ɔʏ n t l ɪ ç n̩
freundliches	f ʁ ɔʏ n t l ɪ ç ə s
freundlichkeit	f ʁ ɔʏ n t l ɪ ç kʰ aj t
freundschaft	f ʁ ɔʏ n t ʃ a f t
fortschleppen	f ɔ ʁ t ʃ l ɛ pʰ n̩
freundschaftsbund	f ʁ ɔʏ n t ʃ a f ts b ʊ n t
fortschwämme	f ɔ ʁ t ʃ v ɛ m ə
freundschaftsbündnis	f ʁ ɔʏ n t ʃ a f ts b ʏ n t n ɪ s
fortbleiben	f ɔ ʁ t b l aj b n̩
frevel	f ʁ eː f l̩
forteilen	f ɔ ʁ tʰ aj l n̩
fortwährend	f ɔ ʁ t v eː ʁ ə n t
frevler	f ʁ eː f l ɐ
fortzog	f ɔ ʁ ts oː k
frieden	f ʁ iː d n̩
friedensfeierlichkeiten	f ʁ iː d n̩ s f aj ɐ l ɪ ç kʰ aj tʰ n̩
fortzusetzen	f ɔ ʁ ts ʊ z ɛ ts n̩
frischblühenden	f ʁ ɪ ʃ b l yː ə n d n̩
frisiertem	f ʁ ɪ z iː ɐ tʰ eː m
fortgeschleppt	f ɔ ʁ t ɡ ə ʃ l ɛ p t
fragst	f ʁ aː k s t
frisuren	f ʁ ɪ z uː ʁ n̩
fortgeschritten	f ɔ ʁ t ɡ ə ʃ ʁ ɪ tʰ n̩
froher	f ʁ oː ɐ
fortpacken	f ɔ ɐ t pʰ a kʰ n̩
fortpacken	f ɔ ʁ t pʰ a kʰ n̩
fortreist	f ɔ ʁ t ʁ aj s t
fromm	f ʁ ɔ m
fortsah	f ɔ ʁ t z aː
fromme	f ʁ ɔ m ə
französin	f ʁ a n ts øː z ɪ n
fortschleifte	f ɔ ʁ t ʃ l aj f tʰ ə
frommer	f ʁ ɔ m ɐ
französisch	f ʁ a n ts øː z ɪ ʃ
fortschritt	f ɔ ʁ t ʃ ʁ ɪ t
frost	f ʁ ɔ s t
frucht	f ʁ ʊ x t
französischer	f ʁ a n ts øː z ɪ ʃ ɐ
fruchtlos	f ʁ ʊ x t l oː s
fortsetzung	f ɔ ʁ t z ɛ ts ʊ ŋ
fräulein	f ʁ ɔʏ l aj n
forttreibt	f ɔ ʁ t ʁ aj p t
fröbom	f ʁ øː b oː m
fortwährendes	f ɔ ʁ t v eː ʁ ə n d ə s
fortzuschaffen	f ɔ ʁ ts uː ʃ a f n̩
frauengesicht	f ʁ aw ə n ɡ ə z ɪ ç t
frauenstimmen	f ʁ aw ə n ʃ t ɪ m n̩
frauenzimmer	f ʁ aw ə n ts ɪ m ɐ
fraß	f ʁ aː s
frechem	f ʁ ɛ ç m̩
frei	f ʁ aj
fröboms	f ʁ øː b ɔʏ m s
fröhlichen	f ʁ øː l ɪ ç n̩
fossile	f ɔ s iː l ə
fröhlichkeit	f ʁ øː l ɪ ç kʰ aj t
fröschen	f ʁ œ ʃ n̩
früchte	f ʁ ʏ ç tʰ ə
frühen	f ʁ yː n̩
freier	f ʁ aj ɐ
frage	f ʁ aː ɡ ə
früheren	f ʁ yː ɐ n
früheren	f ʁ yː ə ʁ n̩
freigebigen	f ʁ aj ɟ eː b ɪ ɡ n̩
frühern	f ʁ yː ɐ n
frühern	f ʁ yː ə ʁ n
frühling	f ʁ yː l ɪ ŋ
freilich	f ʁ aj l ɪ ç
frühlingsabend	f ʁ yː l ɪ ŋ s a m t
freiliegend	f ʁ aj l iː ɡ n̩ t
frühlingshauch	f ʁ yː l ɪ ŋ s h aw x
fremd	f ʁ ɛ m t
frühnebel	f ʁ yː n eː b l̩
fragten	f ʁ aː k tʰ n̩
frühsten	f ʁ yː s t n̩
fremdartigen	f ʁ ɛ m tʰ aː ɐ tʰ ɪ ɡ n̩
frühstücken	f ʁ yː ʃ t ʏ kʰ n̩
fremde	f ʁ ɛ m d ə
fremde	f ʁ ɛ m t
fuchsschlauheit	f ʊ k s ʃ l aw h aj t
französische	f ʁ a n ts øː z ɪ ʃ ə
funkelnagelneuer	f ʊ ŋ kʰ l̩ n aː ɡ l̩ n ɔʏ ɐ
funkelnagelneuer	f ʊ ŋ kʰ l̩ n aː ɡ l̩ n ɔʏ ə ʁ
fremder	f ʁ ɛ m d ɐ
fratzenhaft	f ʁ a ts ə n h a f t
funkelte	f ʊ ŋ kʰ ə l tʰ ə
fress	f ʁ ɛ s
funktionen	f ʊ ŋ k t s j oː n n̩
fressenden	f ʁ ɛ s ə n d n̩
fressenden	f ʁ ɛ s ɛ n d n̩
frauenrollen	f ʁ aw ə n ʁ ɔ l n̩
furcht	f ʊ ʁ ç t
freudenabend	f ʁ ɔʏ d n̩ a m t
freudenabend	f ʁ ɔʏ d ə n a m t
freudenmädchens	f ʁ ɔʏ d n̩ m eː t ç ə n s
furchtbaren	f ʊ ʁ ç t b aː ʁ n̩
futter	f ʊ tʰ ɐ
futteralen	f ʊ tʰ ə ʁ aː l n̩
freudigem	f ʁ ɔʏ d ɪ ɡ m̩
fußtapfen	f s t a pf n̩
fußtapfen	f uː s t a pf n̩
fußtapfen	f ʊ s t a pf n̩
freudiges	f ʁ ɔʏ d ɪ ɡ ə s
fächelte	f ɛ ç ə l tʰ ə
fraulich	f ʁ aw l ɪ ç
freue	f ʁ ɔʏ ə
freuen	f ʁ ɔʏ n̩
frechheit	f ʁ ɛ ç h aj t
fähig	f eː ɪ k
fähig	f eː ɪ ç
freien	f ʁ aj n̩
fährt	f eː ɐ t
fälle	f ɛ l ə
fällt	f ɛ l t
freigelassenen	f ʁ aj ɟ eː l a s ə n n̩
fängt	f ɛ ŋ t
färbten	f ɛ ʁ p tʰ n̩
freundliche	f ʁ ɔʏ n t l ɪ ç ə
freisten	f ʁ aj s t n̩
fäuste	f ɔʏ s t ə
freundlicher	f ʁ ɔʏ n t l ɪ ç ɐ
freiwillig	f ʁ aj v ɪ l ɪ k
freiwillig	f ʁ aj v ɪ l ɪ ç
fördern	f œ ʁ d ɐ n
freundschaftlichen	f ʁ ɔʏ n t ʃ a f t l ɪ ç n̩
freveligem	f ʁ eː f ə l ɪ ɡ m̩
förderte	f œ ʁ d ɐ tʰ ə
friedens	f ʁ iː d n̩ s
förderten	f œ ʁ d ɐ tʰ n̩
füchse	f ʏ k s ə
füglich	f yː k l ɪ ç
fühlen	f yː l n̩
fühlt	f yː l t
fühlte	f yː l tʰ ə
führe	f yː ʁ ə
führen	f yː ʁ n̩
führt	f yː ɐ t
führten	f yː ɐ tʰ n̩
fülle	f ʏ l ə
füllten	f ʏ l tʰ n̩
fünftausend	f ʏ n f tʰ aw z n̩ t
fünftausend	f ʏ n f tʰ aw z ə n t
fünfundvierzigtausend	f ʏ n f ʊ n t f ɪ ɐ ts ɪ ç tʰ aw z ə n t
fünfundvierzigtausend	f ʏ n f ʊ n t f ɪ ʁ ts ɪ ç tʰ aw z ə n t
fürchterlichen	f ʏ ʁ ç tʰ ɐ l ɪ ç n̩
fürchtest	f ʏ ʁ ç tʰ ə s t
fürchtete	f ʏ ʁ ç tʰ eː tʰ ə
fürchtete	f ʏ ʁ ç tʰ ə tʰ ə
fürs	f ʏ ɐ s
fürsten	f ʏ ʁ s t n̩
fütterte	f ʏ tʰ ɐ tʰ ə
füßen	f s n̩
füßen	f ʏ m s n̩
füßen	f ʏ s n̩
friedenstraktat	f ʁ iː d n̩ s t ʁ a k tʰ aː t
friedenstraktat	f ʁ iː d n̩ ʃ t ʁ a k tʰ aː t
fremdes	f ʁ ɛ m d ə s
gab	ɡ aː p
friederiken	f ʁ iː d ə ʁ iː kʰ n̩
friederiken	f ʁ ɪ d ə ʁ iː kʰ n̩
fressen	f ʁ ɛ s n̩
gabe	ɡ aː b ə
friedlichkeit	f ʁ iː t l ɪ ç kʰ aj t
gabeln	ɡ aː b l̩ n
gabeln	ɡ aː b ə l n
frisch	f ʁ ɪ ʃ
frische	f ʁ ɪ ʃ ə
gaben	ɡ aː b n̩
frischen	f ʁ ɪ ʃ n̩
galgenschwengel	ɡ a l ɡ ə n ʃ v ɛ ŋ l̩
freudenausbruch	f ʁ ɔʏ d ə n aw s b ʁ ʊ x
freudentränen	f ʁ ɔʏ d n̩ t ʁ eː n n̩
gamahehs	ɡ a m a h s
ganz	ɡ a n ts
ganzem	ɡ a n ts m̩
ganzes	ɡ a n ts ə s
frisches	f ʁ ɪ ʃ ə s
garnicht	ɡ a ʁ n ɪ ç t
freudigen	f ʁ ɔʏ d ɪ ɡ n̩
frisierten	f ʁ ɪ z iː ɐ tʰ n̩
frisierten	f ʁ ɪ z iː ʁ tʰ n̩
garstiges	ɡ a ʁ s t ɪ ɡ ə s
freudigste	f ʁ ɔʏ d ɪ ç s t ə
frißt	f ʁ ə s t
gartens	ɡ a ʁ tʰ n̩ s
gartens	ɡ a ʁ tʰ ə n s
freuest	f ʁ ɔʏ ə s t
froh	f ʁ oː
gassen	ɡ a s n̩
frohen	f ʁ oː n̩
gastfreundschaft	ɡ a s t f ʁ ɔʏ n t ʃ a f t
frohsten	f ʁ oː s t n̩
gattin	ɡ a tʰ ɪ n
freundesschar	f ʁ ɔʏ n d ə s ʃ aː ɐ
frommen	f ʁ ɔ m n̩
gattung	ɡ a tʰ ʊ ŋ
frommes	f ʁ ɔ m ə s
gaukler	ɡ aw k l ɐ
geahnt	ɟ ɛ aː n t
fruchthändler	f ʁ ʊ x t h ɛ n d l ɐ
freundschaftliche	f ʁ ɔʏ n t ʃ a f t l ɪ ç ə
fröhlich	f ʁ øː l ɪ ç
gealtert	ɟ ɛ aː l tʰ ɐ t
freundschaftsbunde	f ʁ ɔʏ n t ʃ a f ts b ʊ n d ə
fröhlicher	f ʁ øː l ɪ ç ɐ
geankert	ɡ ə a n kʰ ɐ t
freut	f ʁ ɔʏ t
geantwortet	ɡ ə a n t v ɔ ɐ tʰ ə t
freute	f ʁ ɔʏ tʰ ə
fröstelnd	f ʁ øː s t ə l n t
gearbeitete	ɡ ə a ʁ b aj tʰ ə tʰ ə
freuten	f ʁ ɔʏ tʰ n̩
geballten	ɡ ə b l tʰ n̩
gebannten	ɡ ə b a n tʰ n̩
früher	f ʁ yː ɐ
friede	f ʁ iː d ə
friede	f ʁ ɪ d ə
gebe	ɟ eː b ə
früherer	f ʁ yː ə ʁ ɐ
geben	ɟ eː b n̩
frühesten	f ʁ yː ə s t n̩
friedensfestes	f ʁ iː d n̩ s f ɛ s t ə s
frühlingsgottheiten	f ʁ yː l ɪ ŋ s ɡ ɔ t h aj tʰ n̩
gebet	ɟ eː b ə t
gebet	ɡ ə b eː t
frühlingstagen	f ʁ yː l ɪ ŋ s t aː ɡ n̩
friedlich	f ʁ iː t l ɪ ç
gebetet	ɡ ə b eː tʰ ə t
frühzeitigen	f ʁ yː ts aj tʰ ɪ ɡ n̩
frierst	f ʁ iː ɐ s t
gebettet	ɡ ə b eː tʰ ə t
gebeugt	ɡ ə b ɔʏ k t
friesen	f ʁ iː z n̩
fuhren	f uː ʁ n̩
gebeugte	ɡ ə b ɔʏ k tʰ ə
fundamentalgesetz	f ʊ n d a m ɛ n tʰ aː l ɡ ə z ɛ ts
gebietet	ɡ ə b iː tʰ ə t
frischem	f ʁ ɪ ʃ m̩
frischer	f ʁ ɪ ʃ ɐ
frisiert	f ʁ ɪ z iː ɐ t
gebilden	ɡ ə b ɪ l d n̩
fristen	f ʁ ɪ s t n̩
funkelnden	f ʊ ŋ kʰ l̩ n d n̩
gebildete	ɡ ə b ɪ l d ə tʰ ə
geblieben	ɡ ə b l iː b n̩
funkelten	f ʊ ŋ kʰ ə l tʰ n̩
frisur	f ʁ ɪ z uː ʁ
geboren	ɡ ə b oː ʁ n̩
furchtbare	f ʊ ʁ ç t b aː ʁ ə
frohe	f ʁ oː ə
gebot	ɡ ə b oː t
furie	f ʊ ʁ iː
frohlockte	f ʁ oː l ɔ k tʰ ə
gebote	ɡ ə b oː tʰ ə
fushiyama	f uː ʃ ɪ ɪ a m a
gebracht	ɡ ə b ʁ a x t
fuß	f s
fuß	f uː s
fuß	f ʊ s
fuß	f ʊ s t s ɛ t
frostig	f ʁ ɔ s t ɪ k
frostig	f ʁ ɔ s t ɪ ç
gebrannt	ɡ ə b ʁ a n t
frälsen	f ʁ eː l z n̩
frälsen	f ʁ ɛ l z n̩
gebrauch	ɡ ə b ʁ aw x
fußboden	f s b oː d n̩
fußboden	f uː s b oː d n̩
fußboden	f ʊ s b oː d n̩
gebrauchs	ɡ ə b ʁ aw x s
fußbodens	f s b oː d n̩ s
fußbodens	f uː s b oː d n̩ s
fußbodens	f ʊ s b oː d n̩ s
fußbodens	f ʊ s b oː d ə n s
gebrechlichem	ɡ ə b ʁ ɛ ç l ɪ ç m̩
fußtritt	f s t ʁ ɪ t
fußtritt	f uː s t ʁ ɪ t
fußtritt	f ʊ s t ʁ ɪ t
fröhliche	f ʁ øː l ɪ ç ə
gebrochen	ɡ ə b ʁ ɔ x n̩
fächelt	f ɛ ç ə l t
fröhliches	f ʁ øː l ɪ ç ə s
gebräuchlich	ɡ ə b ʁ ɔʏ ç l ɪ ç
fächer	f ɛ ç ɐ
frömmigkeit	f ʁ œ m ɪ ç kʰ aj t
geburt	ɡ ə b ʊ ʁ t
fröstelte	f ʁ øː s t ə l tʰ ə
geburtstage	ɡ ə b uː ɐ ts t aː ɡ ə
früh	f ʁ yː
gebärde	ɡ ə b eː ɐ d ə
fällst	f ɛ l s t
gebärden	ɡ ə b eː ɐ d n̩
fälschlicherweise	f ɛ l ʃ l ɪ ç ɐ v aj z ə
gebären	ɡ ə b eː ʁ n̩
füge	f yː ɡ ə
früheres	f ʁ yː ə ʁ ə s
gebäudes	ɡ ə b ɔʏ d ə s
fügen	f yː ɡ n̩
gebührten	ɡ ə b yː ɐ tʰ n̩
fühle	f yː l ə
gebüsch	ɡ ə b ʏ ʃ
gebüsche	ɡ ə b ʏ ʃ ə
gedacht	ɡ ə d a x t
frühlingslaub	f ʁ yː l ɪ ŋ s l aw p
frühstück	f ʁ yː ʃ t ʏ k
fühlten	f yː l tʰ n̩
gedachten	ɡ ə d a x tʰ n̩
fuchs	f ʊ k s
gedanken	ɡ ə d a n kʰ n̩
gedanken	ɡ ə d a ŋ kʰ n̩
fuchsjagd	f ʊ k s j aː k t
führer	f yː ʁ ɐ
fuhr	f uː ɐ
führte	f yː ɐ tʰ ə
gedankenglas	ɡ ə d a n kʰ n̩ ɡ l aː s
führung	f yː ʁ ʊ ŋ
gedankenvoll	ɡ ə d a ŋ kʰ ə n f ɔ l
fuhrwerks	f uː ɐ v ɛ ʁ k s
füllte	f ʏ l tʰ ə
gedankenwelt	ɡ ə d a ŋ kʰ n̩ v ɛ l t
funfzig	f ʊ ts ɪ ç
fünf	f ʏ n f
gedauert	ɡ ə d aw ɐ t
funke	f ʊ ŋ kʰ ə
funkelnd	f ʊ ŋ kʰ l̩ n t
funkelnd	f ʊ ŋ kʰ ə l n t
funkelnde	f ʊ ŋ kʰ l̩ n d ə
funkelndem	f ʊ ŋ kʰ l̩ n d eː m
fünfhundert	f ʏ n f h ʊ n d ɐ t
gedenke	ɡ ə d ɛ ŋ kʰ ə
fünften	f ʏ n f tʰ n̩
furchen	f ʊ ɐ ç n̩
furchen	f ʊ ʁ ç n̩
gedenken	ɡ ə d ɛ ŋ kʰ n̩
fünfzehn	f ʏ n f ts eː n
gedicht	ɡ ə d ɪ ç t
für	f yː ɐ
für	f yː ʁ
für	f ʏ ɐ
furchtbar	f ʊ ʁ ç t b aː ɐ
gedient	ɡ ə d ɪ n t
fürchte	f ʏ ʁ ç tʰ ə
furchtbarer	f ʊ ʁ ç t b aː ʁ ɐ
gedreht	ɡ ə d ʁ eː t
fürchten	f ʏ ʁ ç tʰ n̩
futteral	f ʊ tʰ ə ʁ aː l
fuße	f s ə
fuße	f uː s ə
fuße	f ʊ s ə
fußes	f s ə s
fußes	f uː s ə s
fußes	f ʊ s ə s
gedrungen	ɡ ə d ʁ ʊ ŋ n̩
fürchterliche	f ʏ ʁ ç tʰ ɐ l ɪ ç ə
fußhoch	f s h oː x
fußhoch	f uː s h oː x
fußhoch	f ʊ s h oː x
gedrückt	ɡ ə d ʁ ʏ k t
fußtritts	f s t ʁ ɪ t s
fußtritts	f uː s t ʁ ɪ t s
fußtritts	f ʊ s t ʁ ɪ t s
geduld	ɡ ə d ʊ l t
